,uuu,x,y
AB,10110151.73,-34.2268477,52.41275615
ABa,101221625.6,-103.4094606,54.89103815
ABal,118647576.8,-130.4990498,47.09200165
ABala,211773913.5,-142.1583069,57.75492875
ABalaa,223687760.9,-150.8165997,55.94960565
ABalaaa,257340913.6,-158.3351407,57.16130965
ABalaaaa,225365144.8,-152.5352386,55.52623825
ABalaaaal,173422617.9,-160.3110801,46.34622785
ABalaaaala,151991281.4,-162.4113206,42.82704445
ABalaaaalp,85438049.8,-145.1160895,35.93644895
ABalaaaar,267077180.9,-169.1640597,54.50487605
ABalaaaarl,225690269.1,-167.3799733,50.63816815
ABalaaaarr,277578177.1,-158.9982333,59.11877475
ABalaaap,222576890.8,-136.125406,61.83379635
ABalaaapa,266342246.3,-164.1197652,56.10275725
ABalaaapal,183847088.3,-167.47832,45.67671325
ABalaaapar,301363118.7,-175.3040258,55.86994255
ABalaaapp,260436340.8,-145.5687999,62.54715415
ABalaaappl,353680840.1,-169.8069496,62.48494185
ABalaaappr,332109398.4,-151.6570921,67.79582065
ABalaap,120109337.7,-126.6533603,48.81988285
ABalaapa,156581058,-118.401811,59.62608985
ABalaapaa,271821101.8,-146.3474435,63.55965155
ABalaapaaa,269259100.4,-145.4222056,63.66189055
ABalaapaap,205870440.8,-120.2295003,67.33037275
ABalaapap,219319293.2,-122.110166,68.42450445
ABalaapapp,161554888.9,-98.9161914,72.49661515
ABalaapp,71742092.45,-79.3765164,60.20326545
ABalaappa,234641543.5,-126.6043181,68.26199845
ABalaappap,239789189.8,-123.1743951,70.92827955
ABalaappp,164249416.1,-103.7170384,69.71510305
ABalaapppa,300359493.3,-138.6153297,70.53984205
ABalaapppp,242756229.9,-119.0294348,73.85091565
ABalap,214840573.7,-124.2904114,66.53429965
ABalapa,251228298.4,-136.1866124,65.66363565
ABalapaa,221346427.9,-138.1987436,60.73754415
ABalapaaa,184914402.6,-151.4159951,50.66857355
ABalapaaaa,192958662.7,-163.1951216,48.02308235
ABalapaaap,146706263.4,-149.0198734,45.85695375
ABalapaap,118906349.5,-134.8127366,45.63485365
ABalapaapa,121081659.5,-150.2954136,41.30651145
ABalapaapp,81455417.12,-131.5035334,38.72109475
ABalapap,153374819.9,-106.677127,65.49841425
ABalapapa,128969462.4,-121.7556976,52.62343765
ABalapapap,129362993.2,-128.9512935,49.76275185
ABalapapp,57926809.46,-85.3309315,50.32205655
ABalapappa,69031083.84,-108.3959105,43.24486165
ABalapappp,35053518.71,-76.3984804,43.72261745
ABalapp,95480218.98,-94.8743617,58.10759485
ABalappa,126297103.5,-100.0315419,63.38475205
ABalappaa,241053398.7,-148.791703,58.87121225
ABalappaap,257324333.4,-155.5799374,58.17171925
ABalappap,196656875.8,-124.7534205,63.42013605
ABalappapa,349966206.8,-157.1437826,67.16467475
ABalappapp,307154091.3,-140.0229625,70.61613665
ABalappp,37012057.47,-56.2277913,61.04437525
ABalapppa,124025128,-95.9599872,65.47714345
ABalapppaa,247121583.1,-138.6991131,63.94501865
ABalapppap,188089070.8,-114.9994153,67.28390855
ABalapppp,43381312.77,-55.5979183,66.83714305
ABalappppa,141696175.7,-94.2978615,71.22005165
ABalappppp,64053541.71,-62.8666055,71.82516405
ABalp,59004452.04,-110.7704994,39.12400815
ABalpa,94109042.1,-135.0194259,40.53633525
ABalpaa,135786396.5,-148.5372099,44.26066485
ABalpaaa,185885694,-156.714735,49.08380415
ABalpaaaa,167936381.9,-147.0132936,49.73256425
ABalpaaaaa,132883357.5,-139.4882755,46.62540905
ABalpaaaap,88575505.75,-112.9179484,47.02392815
ABalpaaap,101305846.8,-126.9256882,44.73967165
ABalpaaapa,69086027.42,-107.7674429,43.51435955
ABalpaaapp,43961521.72,-85.7993089,43.59911085
ABalpaap,122159522.7,-138.7234945,44.95093265
ABalpaapa,157085510.5,-151.5209983,46.66811985
ABalpaapaa,177015960.2,-152.929355,49.08405335
ABalpaapap,96905041.68,-127.437937,43.58123345
ABalpaapp,75180678.96,-120.209489,40.69484835
ABalpaappa,86848443.05,-137.9894961,38.10307745
ABalpaappp,51603018.45,-112.1580814,36.13533165
ABalpap,44264334.46,-109.9091855,34.15214955
ABalpapa,88849253.37,-137.2000441,38.76124375
ABalpapaa,87907614.31,-129.9564497,40.70431705
ABalpapaaa,58515758.82,-112.7385083,38.28152235
ABalpapaap,35455572.03,-87.0535502,38.59053725
ABalpapap,48407617.91,-98.837033,39.71569985
ABalpapapa,19144773.13,-73.0037714,33.81464865
ABalpapapp,7012331.646,-45.0685567,33.14993165
ABalpapp,31861119.53,-91.8556336,34.66967595
ABalpappa,45733581.63,-90.1052796,42.34405375
ABalpappaa,41781118.87,-85.0488779,42.87918365
ABalpappap,20144932.36,-58.8403205,43.03610325
