,u,x,y
AB,62.72181886,-34.2268477,52.41275615
ABa,117.149656,-103.4094606,54.89103815
ABal,138.8120598,-130.4990498,47.09200165
ABala,153.5048604,-142.1583069,57.75492875
ABalaa,160.9143288,-150.8165997,55.94960565
ABalaaa,168.3866702,-158.3351407,57.16130965
ABalaaaa,162.37399,-152.5352386,55.52623825
ABalaaaal,166.9279848,-160.3110801,46.34622785
ABalaaaala,168.0088817,-162.4113206,42.82704445
ABalaaaalp,149.5491472,-145.1160895,35.93644895
ABalaaaar,177.771671,-169.1640597,54.50487605
ABalaaaarl,174.9163583,-167.3799733,50.63816815
ABalaaaarr,169.6771742,-158.9982333,59.11877475
ABalaaap,149.5648478,-136.125406,61.83379635
ABalaaapa,173.4946779,-164.1197652,56.10275725
ABalaaapal,173.6449392,-167.47832,45.67671325
ABalaaapar,184.0406563,-175.3040258,55.86994255
ABalaaapp,158.4928655,-145.5687999,62.54715415
ABalaaappl,180.9862656,-169.8069496,62.48494185
ABalaaappr,166.1706765,-151.6570921,67.79582065
ABalaap,135.7935769,-126.6533603,48.81988285
ABalaapa,132.624768,-118.401811,59.62608985
ABalaapaa,159.6003931,-146.3474435,63.55965155
ABalaapaaa,158.7940342,-145.4222056,63.66189055
ABalaapaap,137.8482602,-120.2295003,67.33037275
ABalaapap,140.0257259,-122.110166,68.42450445
ABalaapapp,122.6948837,-98.9161914,72.49661515
ABalaapp,99.70095295,-79.3765164,60.20326545
ABalaappa,143.8971048,-126.6043181,68.26199845
ABalaappap,142.1949843,-123.1743951,70.92827955
ABalaappp,125.0463039,-103.7170384,69.71510305
ABalaapppa,155.5946644,-138.6153297,70.53984205
ABalaapppp,140.1532877,-119.0294348,73.85091565
ABalap,141.0559318,-124.2904114,66.53429965
ABalapa,151.2597822,-136.1866124,65.66363565
ABalapaa,151.0247923,-138.1987436,60.73754415
ABalapaaa,159.7363299,-151.4159951,50.66857355
ABalapaaaa,170.1714793,-163.1951216,48.02308235
ABalapaaap,155.9897384,-149.0198734,45.85695375
ABalapaap,142.4049309,-134.8127366,45.63485365
ABalapaapa,155.9356404,-150.2954136,41.30651145
ABalapaapp,137.1651433,-131.5035334,38.72109475
ABalapap,125.2700157,-106.677127,65.49841425
ABalapapa,132.7316454,-121.7556976,52.62343765
ABalapapap,138.31076,-128.9512935,49.76275185
ABalapapp,99.17450787,-85.3309315,50.32205655
ABalapappa,116.8040119,-108.3959105,43.24486165
ABalapappp,88.15959926,-76.3984804,43.72261745
ABalapp,111.3338667,-94.8743617,58.10759485
ABalappa,118.5005333,-100.0315419,63.38475205
ABalappaa,160.0830236,-148.791703,58.87121225
ABalappaap,166.1667439,-155.5799374,58.17171925
ABalappap,140.0253932,-124.7534205,63.42013605
ABalappapa,170.9562533,-157.1437826,67.16467475
ABalappapp,156.8933114,-140.0229625,70.61613665
ABalappp,83.1010057,-56.2277913,61.04437525
ABalapppa,116.2651269,-95.9599872,65.47714345
ABalapppaa,152.8084292,-138.6991131,63.94501865
ABalapppap,133.3318483,-114.9994153,67.28390855
ABalapppp,87.05372291,-55.5979183,66.83714305
ABalappppa,118.2649269,-94.2978615,71.22005165
ABalappppp,95.57096885,-62.8666055,71.82516405
ABalp,117.5652437,-110.7704994,39.12400815
ABalpa,141.0486593,-135.0194259,40.53633525
ABalpaa,155.0614705,-148.5372099,44.26066485
ABalpaaa,164.2686569,-156.714735,49.08380415
ABalpaaaa,155.2361577,-147.0132936,49.73256425
ABalpaaaaa,147.1141344,-139.4882755,46.62540905
ABalpaaaap,122.3631217,-112.9179484,47.02392815
ABalpaaap,134.6253413,-126.9256882,44.73967165
ABalpaaapa,116.2733081,-107.7674429,43.51435955
ABalpaaapp,96.30673624,-85.7993089,43.59911085
ABalpaap,145.8925915,-138.7234945,44.95093265
ABalpaapa,158.5947302,-151.5209983,46.66811985
ABalpaapaa,160.6553112,-152.929355,49.08405335
ABalpaapap,134.7355545,-127.437937,43.58123345
ABalpaapp,126.9728138,-120.209489,40.69484835
ABalpaappa,143.2012802,-137.9894961,38.10307745
ABalpaappp,117.893096,-112.1580814,36.13533165
ABalpap,115.1773326,-109.9091855,34.15214955
ABalpapa,142.6309495,-137.2000441,38.76124375
ABalpapaa,136.2315981,-129.9564497,40.70431705
ABalpapaaa,119.1052279,-112.7385083,38.28152235
ABalpapaap,95.27698305,-87.0535502,38.59053725
ABalpapap,106.58119,-98.837033,39.71569985
ABalpapapa,80.5229703,-73.0037714,33.81464865
ABalpapapp,56.04100235,-45.0685567,33.14993165
ABalpapp,98.2665981,-91.8556336,34.66967595
ABalpappa,99.61995714,-90.1052796,42.34405375
ABalpappaa,95.30447542,-85.0488779,42.87918365
ABalpappap,72.96907778,-58.8403205,43.03610325
ABalpappp,71.36924936,-57.159782,42.60514785
ABalpapppa,76.42224375,-62.4625526,43.89827705
ABalpapppp,52.6886691,-30.5376963,42.81197395
ABalpp,88.95507506,-80.2961928,37.93219715
ABalppa,108.5964552,-101.5863253,38.02679955
ABalppaa,141.7841802,-136.4696246,38.15861655
ABalppaaa,141.7961285,-136.5287842,38.04386815
ABalppaaap,144.2369918,-140.2800359,33.28964015
ABalppaap,121.2408971,-116.450516,33.47670455
ABalppaapp,112.0809939,-108.4705332,27.91468115
ABalppap,109.6069723,-103.3990819,36.04917525
ABalppapa,104.1486303,-97.9444766,35.19451095
ABalppapaa,115.8776084,-111.6704941,30.71383165
ABalppapap,92.76447872,-87.3247287,31.09073075
ABalppapp,74.01814779,-65.1206184,34.97483375
ABalppappa,80.45662652,-75.0181892,28.87384905
ABalppappp,54.58824706,-46.9635172,27.58512705
ABalppp,63.76509141,-53.9579939,33.64981335
ABalpppa,98.52924435,-89.3812277,41.20849175
ABalpppaa,123.579594,-117.3622262,38.43772255
ABalpppaaa,134.6957798,-131.2774197,29.82324555
ABalpppaap,123.2904559,-119.683037,29.21931495
ABalpppap,96.78908491,-90.0973547,35.07499175
ABalpppapa,110.6939398,-107.3227378,26.76040795
ABalpppapp,91.52199443,-87.5120097,26.39838555
ABalpppp,62.2641581,-48.4225932,38.90428165
ABalppppa,87.28441434,-76.6924322,41.43055635
ABalppppaa,110.7921634,-105.1511553,34.60981145
ABalppppap,90.96713447,-84.4635056,33.43849565
ABalppppp,56.64024643,-39.8321061,40.01799035
ABalpppppa,73.90880268,-67.0897815,30.66559445
ABalpppppp,48.73074224,-38.2901337,29.78921675
ABar,95.81533257,-67.5987136,67.77583525
ABara,83.24062072,-55.42652,61.99579415
ABaraa,107.945806,-90.0234986,59.44820765
ABaraaa,132.0744602,-115.731855,63.52591435
ABaraaaa,147.2825325,-134.4215644,60.07956745
ABaraaaaa,163.8742543,-153.5874485,57.01760435
ABaraaaaaa,165.468845,-156.2432292,54.35221195
ABaraaaaap,150.1824784,-137.3639895,60.59367735
ABaraaaap,141.090243,-128.8985549,57.24041085
ABaraaaapa,156.4739951,-145.4596677,57.53791165
